Mois,Business_Unit_Code,Business_Unit,Centre_Cout_Code,Centre_Cout,Nature_Depense,Budget_EUR,Reel_EUR
2025-01,BU02,Construction UK,CC2002,Ressources Humaines,Prestations externes,11985.76,13253.78
2025-01,BU02,Construction UK,CC2002,Ressources Humaines,Salaires,23646.59,27082.27
2025-01,BU02,Construction UK,CC2002,Ressources Humaines,Matériel,7761.18,8958.1
2025-01,BU02,Construction UK,CC2002,Ressources Humaines,Déplacements,2810.83,2571.0
2025-01,BU02,Construction UK,CC2002,Ressources Humaines,Énergie,,4463.99
2025-01,BU02,Construction UK,CC2003,Finance,Logiciels,6390.84,6004.48
2025-01,BU02,Construction UK,CC2003,Finance,Prestations externes,11225.18,10862.93
2025-01,BU02,Construction UK,CC2003,Finance,Salaires,16534.09,17015.06
2025-01,BU02,Construction UK,CC2003,Finance,Matériel,5841.88,6512.09
2025-01,BU02,Construction UK,CC2003,Finance,Déplacements,2781.56,3270.2
2025-01,BU02,Construction UK,CC2003,Finance,Énergie,7280.08,6665.47
2025-01,BU03,Energie,CC3001,IT,Logiciels,4896.54,5479.72
2025-01,BU03,Energie,CC3001,IT,Prestations externes,10567.03,11524.11
2025-01,BU03,Energie,CC3001,IT,Salaires,21829.72,19088.67
2025-01,BU03,Energie,CC3001,IT,Matériel,6755.56,6000.53
2025-01,BU03,Energie,CC3001,IT,Déplacements,4437.52,4684.64
2025-01,BU03,Energie,CC3001,IT,Énergie,5691.23,4956.92
2025-01,BU03,Energie,CC3002,Maintenance,Logiciels,6087.83,5827.94
2025-01,BU03,Energie,CC3002,Maintenance,Prestations externes,10689.87,11335.48
2025-01,BU03,Energie,CC3002,Maintenance,Salaires,23081.9,23216.49
2025-01,BU03,Energie,CC3002,Maintenance,Matériel,5752.3,6243.37
2025-01,BU03,Energie,CC3002,Maintenance,Déplacements,4222.65,4371.38
2025-01,BU03,Energie,CC3002,Maintenance,Énergie,7275.48,-500.0
2025-01,BU03,Energie,CC3003,Finance,Logiciels,6913.66,6852.05
2025-01,BU03,Energie,CC3003,Finance,Prestations externes,6887.26,6099.39
2025-01,BU03,Energie,CC3003,Finance,Salaires,13839.44,14670.01
2025-01,BU03,Energie,CC3003,Finance,Matériel,6570.3,6687.43
2025-01,BU03,Energie,CC3003,Finance,Déplacements,4530.89,4224.0
2025-01,BU03,Energie,CC3003,Finance,Énergie,5977.38,6571.12
2025-01,BU04,Infrastructures,CC4001,IT,Logiciels,5767.31,5048.73
2025-01,BU04,Infrastructures,CC4001,IT,Prestations externes,8314.66,7509.82
2025-01,BU04,Infrastructures,CC4001,IT,Salaires,23540.73,26287.46
2025-01,BU04,Infrastructures,CC4001,IT,Matériel,7910.3,8998.61
2025-01,BU04,Infrastructures,CC4001,IT,Déplacements,4312.71,3931.33
2025-01,BU04,Infrastructures,CC4001,IT,Énergie,7713.21,7929.05
2025-01,BU04,Infrastructures,CC4002,Maintenance,Logiciels,8024.02,9193.2
2025-01,BU04,Infrastructures,CC4002,IT ,Prestations externes,8467.22,7504.64
2025-01,BU04,Infrastructures,CC4002,Maintenance,Salaires,15961.7,15817.18
2025-01,BU04,Infrastructures,CC4002,Maintenance,Matériel,8685.66,9849.9
2025-01,BU04,Infrastructures,CC4002,Maintenance,Déplacements,2639.6,2688.56
2025-01,BU04,Infrastructures,CC4002,Maintenance,Énergie,6002.68,5542.25
2025-01,BU04,Infrastructures,CC4003,Finance,Logiciels,5342.47,5136.32
2025-01,BU04,Infrastructures,CC4003,Finance,Prestations externes,11841.71,11328.46
2025-01,BU04,Infrastructures,CC4003,Finance,Salaires,19102.94,20669.31
2025-01,BU04,Infrastructures,CC4003,Finance,Matériel,6777.24,7934.04
2025-01,BU04,Infrastructures,CC4003,Finance,Déplacements,4646.14,4335.26
2025-01,BU04,Infrastructures,CC4003,Finance,Énergie,6290.09,5971.12
2025-02,BU01,Construction France,CC1001,IT,Logiciels,5985.88,5160.86
2025-02,BU01,Construction France,CC1001,IT,Prestations externes,10041.65,10201.15
2025-02,BU01,Construction France,CC1001,IT,Salaires,14055.97,13240.07
2025-02,BU01,Construction France,CC1001,IT,Matériel,9064.72,8421.62
2025-02,BU01,Construction France,CC1001,IT,Déplacements,2929.28,2963.02
2025-02,BU01,Construction France,CC1001,IT,Énergie,8048.34,7483.98
2025-02,BU01,Construction France,CC1002,Ressources Humaines,Logiciels,7496.33,8255.97
2025-02,BU01,Construction France,CC1002,Ressources Humaines,Prestations externes,8033.24,8758.74
2025-02,BU01,Construction France,CC1002,Ressources Humaines,Salaires,17472.06,18496.98
2025-02,BU01,Construction France,CC1002,Ressources Humaines,Matériel,7910.82,8122.88
2025-02,BU01,Construction France,CC1002,Ressources Humaines,Déplacements,2814.61,3168.26
2025/08,BU01,Construction France,CC1002,Ressources Humaines,Énergie,5654.81,5154.65
2025-02,BU01,Construction France,CC1003,Finance,Logiciels,5034.02,5260.53
2025-02,BU01,Construction France,CC1003,Finance,Prestations externes,10408.85,8904.5
2025-02,BU01,Construction France,CC1003,Finance,Salaires,19030.61,17598.43
2025-02,BU01,Construction France,CC1003,Finance,Matériel,7959.73,7223.78
2025-02,BU01,Construction France,CC1003,Finance,Déplacements,4075.97,3984.76
2025-02,BU01,Construction France,CC1003,Finance,Énergie,7872.23,7048.65
2025-02,BU02,Construction UK,CC2001,IT,Logiciels,6205.16,5506.74
2025-02,BU02,Construction UK,CC2001,IT,Prestations externes,11743.35,13381.8
2025-02,BU02,Construction UK,CC2001,IT,Salaires,16285.77,17389.86
2025-02,BU02,Construction UK,CC2001,IT,Matériel,8682.33,8970.73
2025-02,BU02,Construction UK,CC2001,IT,Déplacements,3737.27,3474.95
2025-02,BU02,Construction UK,CC2001,IT,Énergie,4835.17,5541.5
2025-02,BU02,Construction UK,CC2002,Ressources Humaines,Logiciels,8386.63,8880.8
2025-02,BU02,Construction UK,CC2002,Ressources Humaines,Prestations externes,8580.76,8282.49
2025-02,BU02,Construction UK,CC2002,Ressources Humaines,Salaires,21340.32,19633.0944
2025-02,BU02,Construction UK,CC2002,Ressources Humaines,Matériel,8975.76,9939.39
2025-02,BU02,Construction UK,CC2002,Ressources Humaines,Déplacements,3973.27,3487.6
2025-02,BU02,Construction UK,CC2002,Ressources Humaines,Énergie,5081.86,5826.47
2025-02,BU02,Construction UK,CC2003,Finance,Logiciels,7240.07,6176.04
2025-02,BU02,Construction UK,CC2003,Finance,Prestations externes,7297.95,7801.18
2025-02,BU02,Construction UK,CC2003,Finance,Salaires,13554.67,12240.77
2025-02,BU02,Construction UK,CC2003,Finance,Matériel,7554.68,8146.41
2025-02,BU02,Construction UK,CC2003,Finance,Déplacements,3994.12,3690.6
2025-02,BU02,Construction UK,CC2003,Finance,Énergie,7063.85,6557.31
2025-02,BU03,Energie,CC3001,IT,Logiciels,6144.06,6735.99
2025-02,BU03,Energie,CC3001,IT,Prestations externes,10258.02,11594.06
2025-02,BU03,Energie,CC3001,IT,Salaires,20602.22,21375.66
2025-02,BU03,Energie,CC3001,IT,Matériel,5643.43,5481.73
2025-02,BU03,Energie,CC3001,IT,Déplacements,3181.92,2960.83
2025-02,BU03,Energie,CC3001,IT,Énergie,8002.84,7840.56
2025-02,BU03,Energie,CC3002,Maintenance,Logiciels,8353.98,8840.82
2025-02,BU03,Energie,CC3002,Maintenance,Prestations externes,11041.98,11217.22
2025-02,BU03,Energie,CC3002,Maintenance,Salaires,19730.56,19977.8
2025-02,BU03,Energie,CC3002,Maintenance,Matériel,6070.02,6606.67
2025-02,BU03,Energie,CC3002,Maintenance,Déplacements,3214.62,2758.22
2025-02,BU03,Energie,CC3002,Maintenance,Énergie,6823.7,6198.97
2025-02,BU03,Energie,CC3003,Finance,Logiciels,8542.79,9950.61
2025-02,BU03,Energie,CC3003,Finance,Prestations externes,11690.27,11364.72
2025-02,BU03,Energie,CC3003,Finance,Salaires,13666.93,15803.69
2025-02,BU03,Energie,CC3003,Finance,Matériel,7048.37,8239.52
2025-02,BU03,Energie,CC3003,Finance,Déplacements,4648.6,5259.86
2025-02,BU03,Energie,CC3003,Finance,Énergie,5560.02,5432.59
2025-02,BU04,Infrastructures,CC4001,IT,Logiciels,8194.43,7822.28
2025-02,BU04,Infrastructures,CC4001,IT,Prestations externes,7665.26,7923.92
2025-02,BU04,Infrastructures,CC4001,IT,Salaires,23610.47,25491.99
2025-02,BU04,Infrastructures,CC4001,IT,Matériel,7644.26,6742.76
2025-02,BU04,Infrastructures,CC4001,IT,Déplacements,3916.52,4608.63
2025-02,BU04,Infrastructures,CC4001,IT,Énergie,5004.3,5109.64
2025-02,BU04,Infrastructures,CC4002,Maintenance,Logiciels,8296.75,9080.41
2025-02,BU04,Infrastructures,CC4002,Maintenance,Prestations externes,10513.89,11374.13
2025-02,BU04,Infrastructures,CC4002,Maintenance,Salaires,17382.5,16459.24
2025-02,BU04,Infrastructures,CC4002,Maintenance,Matériel,8649.32,9664.21
2025-02,BU04,Infrastructures,CC4002,Maintenance,Déplacements,4445.85,5118.82
2025-02,BU04,Infrastructures,CC4002,Maintenance,Énergie,6340.83,6439.12
2025-02,BU04,Infrastructures,CC4003,Finance,Logiciels,7988.35,8503.5
2025-02,BU04,Infrastructures,CC4003,Finance,Prestations externes,10540.62,11727.62
2025-02,BU04,Infrastructures,CC4003,Finance,Salaires,23112.06,22223.13
2025-02,BU04,Infrastructures,CC4003,Finance,Matériel,6827.45,6015.08
2025-02,BU04,Infrastructures,CC4003,Finance,Déplacements,3839.39,3309.02
2025-02,BU04,Infrastructures,CC4003,Finance,Énergie,6176.15,6355.71
2025-03,BU01,Construction France,CC1001,IT,Logiciels,5992.51,6262.02
2025-03,BU01,Construction France,CC1001,IT,Prestations externes,6914.7,5962.72
2025-03,BU01,Construction France,CC1001,IT,Salaires,22384.09,21687.11
2025-03,BU01,Construction France,CC1001,IT,Matériel,5783.65,5912.86
2025-03,BU01,Construction France,CC1001,IT,Déplacements,4241.99,3907.81
2025-03,BU01,Construction France,CC1001,IT,Énergie,6742.41,5920.94
2025-03,BU01,Construction France,CC1002,Ressources Humaines,Logiciels,5076.56,5205.23
2025-03,BU01,Construction France,CC1002,Ressources Humaines,Prestations externes,9669.43,10253.0
2025-03,BU01,Construction France,CC1002,Ressources Humaines,Salaires,21341.79,25013.24
2025-03,BU01,Construction France,CC1002,Ressources Humaines,Matériel,7418.46,7096.32
2025-03,BU01,Construction France,CC1002,Ressources Humaines,Déplacements,4294.89,4034.51
2025-03,BU01,Construction France,CC1002,Ressources Humaines,Énergie,6080.3,5325.68
2025-03,BU01,Construction France,CC1003,Finance,Logiciels,4973.87,5807.86
2025-03,BU01,Construction France,CC1003,Finance,Prestations externes,11264.29,12161.74
2025-03,BU01,Construction France,CC1003,Finance,Salaires,17916.69,16253.79
2025-03,BU01,Construction France,CC1003,Finance,Matériel,5907.04,5508.78
2025-03,BU01,Construction France,CC1003,Finance,Déplacements,3778.38,4102.62
2025-03,BU01,Construction France,CC1003,Finance,Énergie,6876.71,6480.46
2025-03,BU02,Construction UK,CC2001,IT,Logiciels,8598.97,9403.03
2025-03,BU02,Construction UK,CC2001,IT,Prestations externes,9743.51,10248.89
2025-03,BU02,Construction UK,CC2001,IT,Salaires,18031.68,16801.04
2025-03,BU02,Construction UK,CC2001,IT,Matériel,6745.09,7420.2
2025-03,BU02,Construction UK,CC2001,IT,Déplacements,2655.23,2358.65
2025-03,BU02,Construction UK,CC2001,IT,Énergie,4665.61,4028.48
2025-03,BU02,Construction UK,CC2002,Ressources Humaines,Logiciels,8211.3,8886.32
2025-03,BU02,Construction UK,CC2002,Ressources Humaines,Prestations externes,9310.54,8214.55
2025-03,BU02,Construction UK,CC2002,Ressources Humaines,Salaires,18809.45,18926.93
2025-03,BU02,Construction UK,CC2002,Ressources Humaines,Matériel,5977.45,5936.63
2025-03,BU02,Construction UK,CC2002,Ressources Humaines,Déplacements,3461.86,3646.14
2025-03,BU02,Construction UK,CC2002,Ressources Humaines,Énergie,6786.34,5869.84
2025-03,BU02,Construction UK,CC2003,Finance,Logiciels,6335.99,6694.19
2025-03,BU02,Construction UK,CC2003,Finance,Prestations externes,9466.94,10722.65
2025-03,BU02,Construction UK,CC2003,Finance,Salaires,20613.89,18630.18
2025-03,BU02,Construction UK,CC2003,Finance,Matériel,5546.39,5890.26
2025-03,BU02,Construction UK,CC2003,Finance,Déplacements,2680.67,2796.76
2025-03,BU02,Construction UK,CC2003,Finance,Énergie,7884.83,8199.48
2025-03,BU03,Energie,CC3001,IT,Logiciels,6388.86,6786.79
2025-03,BU03,Energie,CC3001,IT,Prestations externes,9224.57,11807.4496
2025-03,BU03,Energie,CC3001,IT,Salaires,23667.82,23133.26
2025-03,BU03,Energie,CC3001,IT,Matériel,9287.0,10668.59
2025-03,BU03,Energie,CC3001,IT,Déplacements,3036.16,2650.23
2025-03,BU03,Energie,CC3001,IT,Énergie,4862.8,4162.62
2025-03,BU03,Energie,CC3002,Maintenance,Logiciels,5243.33,5638.63
2025-03,BU03,Energie,CC3002,Maintenance,Prestations externes,7134.42,6815.24
2025-03,BU03,Energie,CC3002,Maintenance,Salaires,22624.65,19404.71
2025-03,BU03,Energie,CC3002,Maintenance,Matériel,8670.77,8176.64
2025-03,BU03,Energie,CC3002,Maintenance,Déplacements,2873.15,3102.78
2025-03,BU03,Energie,CC3002,Maintenance,Énergie,6764.19,7708.24
2025-03,BU03,Energie,CC3003,Finance,Logiciels,7741.78,8633.23
2025-03,BU03,Energie,CC3003,Finance,Prestations externes,8272.99,7516.46
2025-03,BU03,Energie,CC3003,Finance,Salaires,21606.64,24118.53
2025-03,BU03,Energie,CC3003,Finance,Matériel,9410.12,9279.92
2025-03,BU03,Energie,CC3003,Finance,Déplacements,3406.24,3768.04
2025-03,BU03,Energie,CC3003,Finance,Énergie,5726.89,6626.87
2025-03,BU04,Infrastructures,CC4001,IT,Logiciels,8222.81,8153.48
2025-03,BU04,Infrastructures,CC4001,IT,Prestations externes,10804.7,11874.36
2025-03,BU04,Infrastructures,CC4001,IT,Salaires,14613.74,16774.27
2025-03,BU04,Infrastructures,CC4001,IT,Matériel,7372.06,8276.84
2025-03,BU04,Infrastructures,CC4001,IT,Déplacements,3297.1,3776.91
2025-03,BU04,Infrastructures,CC4001,IT,Énergie,5901.13,5037.06
2025-03,BU04,Infrastructures,CC4002,Maintenance,Logiciels,8405.99,7398.32
2025-03,BU04,Infrastructures,CC4002,Maintenance,Prestations externes,8474.29,9860.01
2025-03,BU04,Infrastructures,CC4002,Maintenance,Salaires,23766.56,24699.03
2025-03,BU04,Infrastructures,CC4002,Maintenance,Matériel,7903.72,7887.81
2025-03,BU04,Infrastructures,CC4002,Maintenance,Déplacements,3240.74,3106.12
2025-03,BU04,Infrastructures,CC4002,Maintenance,Énergie,6921.07,7601.29
2025-03,BU04,Infrastructures,CC4003,Finance,Logiciels,7962.16,8842.57
2025-03,BU04,Infrastructures,CC4003,Finance,Prestations externes,7242.51,7337.82
2025-03,BU04,Infrastructures,CC4003,Finance,Salaires,14121.63,14564.27
2025-03,BU04,Infrastructures,CC4003,Finance,Matériel,7104.43,8119.95
2025-03,BU04,Infrastructures,CC4003,Finance,Déplacements,3361.92,2987.51
2025-03,BU04,Infrastructures,CC4003,Finance,Énergie,5014.77,5522.76
2025-04,BU01,Construction France,CC1001,IT,Logiciels,7286.05,6436.28
2025-04,BU01,Construction France,CC1001,IT,Prestations externes,7204.18,7790.02
2025-04,BU01,Construction France,CC1001,IT,Salaires,14285.84,16017.48
2025-04,BU01,Construction France,CC1001,IT,Matériel,8216.22,7204.35
2025-04,BU01,Construction France,CC1001,IT,Déplacements,2803.16,3295.37
2025-04,BU01,Construction France,CC1001,IT,Énergie,5847.37,5685.47
2025-04,BU01,Construction France,CC1002,Ressources Humaines,Logiciels,8044.92,9352.96
2025-04,BU01,Construction France,CC1002,Ressources Humaines,Prestations externes,12074.41,13265.12
2025-04,BU01,Construction France,CC1002,Ressources Humaines,Salaires,17563.6,15413.03
2025-04,BU01,Construction France,CC1002,Ressources Humaines,Matériel,8514.02,8805.82
2025-04,BU01,Construction France,CC1002,Ressources Humaines,Déplacements,3515.87,4040.07
2025-04,BU01,Construction France,CC1002,Ressources Humaines,Énergie,4900.31,4961.89
2025-04,BU01,Construction France,CC1003,Finance,Logiciels,4919.28,4942.19
2025-04,BU01,Construction France,CC1003,Finance,Prestations externes,7054.04,6272.52
2025-04,BU01,Construction France,CC1003,Finance,Salaires,14769.28,15718.05
2025-04,BU01,Construction France,CC1003,Finance,Matériel,8383.39,8739.78
2025-04,BU01,Construction France,CC1003,Finance,Déplacements,4645.56,4523.42
2025-04,BU01,Construction France,CC1003,Finance,Énergie,5528.56,6283.97
2025-04,BU02,Construction UK,CC2001,IT,Logiciels,5747.02,6711.74
2025-04,BU02,Construction UK,CC2001,IT,Prestations externes,6815.63,7974.7
2025-04,BU02,Construction UK,CC2001,IT,Salaires,13966.13,15978.33
2025-04,BU02,Construction UK,CC2001,IT,Matériel,7466.34,8792.95
2025-04,BU02,Construction UK,CC2001,IT,Déplacements,2779.97,2871.08
2025-04,BU02,Construction UK,CC2001,IT,Énergie,7989.49,8170.23
2025-04,BU02,Construction UK,CC2002,Ressources Humaines,Logiciels,7329.65,7913.07
2025-04,BU02,Construction UK,CC2002,Ressources Humaines,Prestations externes,9204.52,9730.05
2025-04,BU02,Construction UK,CC2002,Ressources Humaines,Salaires,19810.59,22730.32
2025-04,BU02,Construction UK,CC2002,Ressources Humaines,Matériel,5440.87,5129.21
2025-04,BU02,Construction UK,CC2002,Ressources Humaines,Déplacements,4620.86,5285.28
2025-04,BU02,Construction UK,CC2002,Ressources Humaines,Énergie,6140.36,6475.9
2025-04,BU02,Construction UK,CC2003,Finance,Logiciels,5956.79,5433.07
2025-04,BU02,Construction UK,CC2003,Finance,Prestations externes,9253.97,8944.95
2025-04,BU02,Construction UK,CC2003,Finance,Salaires,19803.49,17340.97
2025-04,BU02,Construction UK,CC2003,Finance,Matériel,9342.46,10981.59
2025-04,BU02,Construction UK,CC2003,Finance,Déplacements,4091.14,4201.24
2025-04,BU02,Construction UK,CC2003,Finance,Énergie,5614.3,6279.89
2025-04,BU03,Energie,CC3001,IT,Logiciels,7545.45,6818.55
2025-04,BU03,Energie,CC3001,IT,Prestations externes,11669.01,13086.06
2025-04,BU03,Energie,CC3001,IT,Salaires,23757.84,25883.87
2025-04,BU03,Energie,CC3001,IT,Matériel,7826.34,7732.59
2025-04,BU03,Energie,CC3001,IT,Déplacements,4583.73,5206.21
2025-04,BU03,Energie,CC3001,IT,Énergie,4662.79,4003.94
2025-04,BU03,Energie,CC3002,Maintenance,Logiciels,6343.21,7088.42
2025-04,BU03,Energie,CC3002,Maintenance,Prestations externes,12081.29,10868.78
2025-04,BU03,Energie,CC3002,Maintenance,Salaires,19916.61,19432.52
2025-04,BU03,Energie,CC3002,Maintenance,Matériel,9323.64,10516.13
2025-04,BU03,Energie,CC3002,Maintenance,Déplacements,4385.49,4405.97
2025-04,BU03,Energie,CC3002,Maintenance,Énergie,5993.35,5635.09
2025-04,BU03,Energie,CC3003,Finance,Logiciels,5094.86,5784.5
2025-04,BU03,Energie,CC3003,Finance,Prestations externes,11139.67,13143.77
2025-04,BU03,Energie,CC3003,Finance,Salaires,24263.68,25071.48
2025-04,BU03,Energie,CC3003,Finance,Matériel,8479.75,9851.54
2025-04,BU03,Energie,CC3003,Finance,Déplacements,4409.26,4107.78
2025-04,BU03,Energie,CC3003,Finance,Énergie,6121.96,5464.6
2025-04,BU04,Infrastructures,CC4001,IT,Logiciels,8595.8,9025.91
2025-04,BU04,Infrastructures,CC4001,IT,Prestations externes,7984.67,8556.86
2025-04,BU04,Infrastructures,CC4001,IT,Salaires,20175.78,19534.07
2025-04,BU04,Infrastructures,CC4001,IT,Matériel,5726.94,6137.1
2025-04,BU04,Infrastructures,CC4001,IT,Déplacements,3717.65,4107.5
2025-04,BU04,Infrastructures,CC4001,IT,Énergie,6372.59,7208.8
2025-04,BU04,Infrastructures,CC4002,Maintenance,Logiciels,7027.44,7274.17
2025-04,BU04,Infrastructures,CC4002,Maintenance,Prestations externes,11483.93,11290.42
2025-04,BU04,Infrastructures,CC4002,Maintenance,Salaires,14947.36,12847.23
2025-04,BU04,Infrastructures,CC4002,Maintenance,Matériel,8421.58,8882.25
2025-04,BU04,Infrastructures,CC4002,Maintenance,Déplacements,4103.57,3776.42
2025-04,BU04,Infrastructures,CC4002,Maintenance,Énergie,4990.94,4266.25
2025-04,BU04,Infrastructures,CC4003,Finance,Logiciels,6242.29,6521.15
2025-04,BU04,Infrastructures,CC4003,Finance,Prestations externes,8868.12,8818.16
2025-04,BU04,Infrastructures,CC4003,Finance,Salaires,23264.91,22448.88
2025-04,BU04,Infrastructures,CC4003,Finance,Matériel,7408.76,8213.39
2025-04,BU04,Infrastructures,CC4003,Finance,Déplacements,3457.74,3648.91
2025-04,BU04,Infrastructures,CC4003,Finance,Énergie,7604.51,8846.64
2025-05,BU01,Construction France,CC1001,IT,Logiciels,5448.59,20448.59
2025-05,BU01,Construction France,CC1001,IT,Prestations externes,9407.43,8798.02
2025-05,BU01,Construction France,CC1001,IT,Salaires,18458.67,21659.6
2025-05,BU01,Construction France,CC1001,IT,Matériel,7319.0,7015.17
2025-05,BU01,Construction France,CC1001,IT,Déplacements,3955.14,3675.31
2025-05,BU01,Construction France,CC1001,IT,Énergie,4773.11,4260.14
2025-05,BU01,Construction France,CC1002,Ressources Humaines,Logiciels,5374.38,4837.63
2025-05,BU01,Construction France,CC1002,Ressources Humaines,Prestations externes,7499.67,7960.81
2025-05,BU01,Construction France,CC1002,Ressources Humaines,Salaires,15464.3,14908.68
2025-05,BU01,Construction France,CC1002,Ressources Humaines,Matériel,9016.51,9074.28
2025-05,BU01,Construction France,CC1002,Ressources Humaines,Déplacements,4026.87,3651.83
2025-05,BU01,Construction France,CC1002,Ressources Humaines,Énergie,5192.24,4483.43
2025-05,BU01,Construction France,CC1003,Finance,Logiciels,5533.85,5212.52
2025-05,BU01,Construction France,CC1003,Finance,Prestations externes,7705.86,6775.54
2025-05,BU01,Construction France,CC1003,Finance,Salaires,14802.87,14833.32
2025-05,BU01,Construction France,CC1003,Finance,Matériel,6116.6,5934.38
2025-05,BU01,Construction France,CC1003,Finance,Déplacements,3682.18,3968.76
2025-05,BU01,Construction France,CC1003,Finance,Énergie,4641.52,5169.75
2025-05,BU02,Construction UK,CC2001,IT,Logiciels,7323.81,6422.84
2025-05,BU02,Construction UK,CC2001,IT,Prestations externes,11467.32,13232.01
2025-05,BU02,Construction UK,CC2001,IT,Salaires,14159.64,13329.46
2025-05,BU02,Construction UK,CC2001,IT,Matériel,8636.05,9473.1
2025-05,BU02,Construction UK,CC2001,IT,Déplacements,3012.49,2768.74
2025-05,BU02,Construction UK,CC2001,IT,Énergie,5833.7,5891.41
2025-05,BU02,Construction UK,CC2002,Ressources Humaines,Logiciels,7286.19,7080.3
2025-05,BU02,Construction UK,CC2002,Ressources Humaines,Prestations externes,9247.69,10141.62
2025-05,BU02,Construction UK,CC2002,Ressources Humaines,Salaires,13896.18,12969.36
2025-05,BU02,Construction UK,CC2002,Ressources Humaines,Matériel,8246.07,9445.2
2025-05,BU02,Construction UK,CC2002,Ressources Humaines,Déplacements,3699.52,3794.22
2025-05,BU02,Construction UK,CC2002,Ressources Humaines,Énergie,4885.82,4874.32
2025-05,BU02,Construction UK,CC2003,Finance,Logiciels,6952.21,6465.66
2025-05,BU02,Construction UK,CC2003,Finance,Prestations externes,8203.91,7994.74
2025-05,BU02,Construction UK,CC2003,Finance,Salaires,13716.77,13117.16
2025-05,BU02,Construction UK,CC2003,Finance,Matériel,6138.08,5880.74
2025-05,BU02,Construction UK,CC2003,Finance,Déplacements,2876.5,3290.35
2025-05,BU02,Construction UK,CC2003,Finance,Énergie,6636.93,7128.75
2025-05,BU03,Energie,CC3001,IT,Logiciels,7952.77,8067.97
2025-05,BU03,Energie,CC3001,IT,Prestations externes,7219.37,7416.06
2025-05,BU03,Energie,CC3001,IT,Salaires,19837.88,21742.22
2025-05,BU03,Energie,CC3001,IT,Matériel,7062.97,6300.89
2025-05,BU03,Energie,CC3001,IT,Déplacements,3220.93,3123.71
2025-05,BU03,Energie,CC3001,IT,Énergie,6825.3,7087.1
2025-05,BU03,Energie,CC3002,Maintenance,Logiciels,6263.78,7363.38
2025-05,BU03,Energie,CC3002,Maintenance,Prestations externes,10021.18,9302.51
2025-05,BU03,Energie,CC3002,Maintenance,Salaires,14599.25,13145.8
2025-05,BU03,Energie,CC3002,Maintenance,Matériel,6283.02,5673.73
2025-05,BU03,Energie,CC3002,Maintenance,Déplacements,3016.79,2848.1
2025-05,BU03,Energie,CC3002,Maintenance,Énergie,5124.14,5871.92
2025-05,BU03,Energie,CC3003,Finance,Logiciels,5187.91,5307.69
2025-05,BU03,Energie,CC3003,Finance,Prestations externes,8966.14,10527.91
2025-05,BU03,Energie,CC3003,Finance,Salaires,14710.02,14434.83
2025-05,BU03,Energie,CC3003,Finance,Matériel,9321.78,10585.97
2025-05,BU03,Energie,CC3003,Finance,Déplacements,4340.85,4059.16
2025-05,BU03,Energie,CC3003,Finance,Énergie,5115.2,5476.6
2025-05,BU04,Infrastructures,CC4001,IT,Logiciels,8499.57,8786.27
2025-05,BU04,Infrastructures,CC4001,IT,Prestations externes,9836.71,9270.05
2025-05,BU04,Infrastructures,CC4001,IT,Salaires,21810.52,19885.19
2025-05,BU04,Infrastructures,CC4001,IT,Matériel,6609.45,6545.96
2025-05,BU04,Infrastructures,CC4001,IT,Déplacements,3690.98,3432.6
